emp_id,name,salary,department
306,Kelly Weber,149707,Finance
976,Jeffrey Castillo,149613,Finance
798,Debbie Gray,149471,Finance
234,Rhonda Jones,148521,HR
30,Gregory Brown,148323,HR
356,Pamela Thomas,147578,HR
875,Danielle Cole,149718,IT
64,Lori Navarro,149585,IT
900,Katherine Fernandez,148473,IT
388,John Alvarado,149507,Marketing
474,Jason Smith,149100,Marketing
888,Crystal Meyer,148664,Marketing
432,Rebecca Ponce,149051,Operations
795,Bradley Williams,147898,Operations
823,Michael Edwards,147810,Operations
