e.emp_id,e.name,e.salary,e.department,salary_rank
306,Kelly Weber,149707,Finance,1
976,Jeffrey Castillo,149613,Finance,2
798,Debbie Gray,149471,Finance,3
609,Bradley Oliver,149303,Finance,4
687,Susan Gomez,148959,Finance,5
477,Theresa Johnson,148784,Finance,6
224,Sean Miller,147585,Finance,7
293,Rebecca Blankenship,147520,Finance,8
705,Michael Smith,147513,Finance,9
638,Joel Rodriguez,147456,Finance,10
573,Christina Jordan,147233,Finance,11
639,Maria Johnson,146543,Finance,12
870,Charles Rangel,146505,Finance,13
373,Alexis Wiggins,146369,Finance,14
168,Audrey Fitzpatrick,146298,Finance,15
289,Andrew Stark,145783,Finance,16
135,Kevin Ward,145667,Finance,17
231,David Navarro,145335,Finance,18
986,Ashley Jackson,144794,Finance,19
209,Kimberly Miller,143561,Finance,20
854,William Diaz,143437,Finance,21
523,Paul Martinez,143248,Finance,22
74,Gwendolyn Wiggins,141987,Finance,23
363,Rebecca Moore,141133,Finance,24
438,Rhonda Ramsey,140685,Finance,25
351,Janet Mcdonald,139833,Finance,26
72,Elizabeth Simon,139333,Finance,27
69,Melanie Mcdowell,139284,Finance,28
918,Matthew Evans,138769,Finance,29
967,Summer Ali,138101,Finance,30
469,Daniel Williams,137453,Finance,31
661,Frances Mercado,137117,Finance,32
59,Melissa Donaldson,136798,Finance,33
71,Beverly Stevenson,135918,Finance,34
607,Cindy Clark,135664,Finance,35
307,Tracy Higgins,135075,Finance,36
825,James Peterson,134006,Finance,37
701,Paul Carrillo,132995,Finance,38
77,Christopher Castillo,132692,Finance,39
81,Laurie Robertson,132606,Finance,40
515,Amy Bautista,130720,Finance,41
881,Tracy Townsend,130588,Finance,42
674,David Martinez,127843,Finance,43
370,Brian Nelson,127605,Finance,44
741,Noah Smith,127384,Finance,45
910,Dana Anderson,125160,Finance,46
630,Mark Brooks,125101,Finance,47
11,Justin Calhoun,122775,Finance,48
10,James Wright,122584,Finance,49
37,Colleen Hanson,122550,Finance,50
309,Nicholas Kane,122098,Finance,51
145,Sean Cox,120516,Finance,52
643,Maurice Scott,120291,Finance,53
833,Angela Davis,120069,Finance,54
260,Daniel Martin,119742,Finance,55
597,Tamara Miller,119183,Finance,56
159,Darryl Flynn,117932,Finance,57
141,Anthony Hoffman,117850,Finance,58
592,Latoya Landry,116957,Finance,59
700,Eugene Blair,116654,Finance,60
616,Pamela Caldwell,115528,Finance,61
664,Wanda Wilson,115407,Finance,62
887,Samantha Davis,115280,Finance,63
799,Robert Perry,113610,Finance,64
924,Amy Rodriguez,113027,Finance,65
176,Dana Carpenter,112201,Finance,66
247,Jeremy Cortez,110938,Finance,67
319,Diane Barry,110483,Finance,68
591,Michael Melton,110409,Finance,69
219,Jason Neal,109260,Finance,70
158,Timothy Flores,108801,Finance,71
936,Ryan Nunez,108732,Finance,72
398,Robert Rivera,108203,Finance,73
228,Paul Galloway,104740,Finance,74
126,James Gallegos,104549,Finance,75
550,Kelly Mccoy,104002,Finance,76
509,Jacob Baker,103514,Finance,77
940,Cody Mcfarland,103044,Finance,78
929,Joseph Schroeder,102353,Finance,79
734,Jose Martinez,100737,Finance,80
996,Michele Obrien,100661,Finance,81
788,Jason Rodriguez,100542,Finance,82
267,Linda Butler,100518,Finance,83
502,Daniel Brown,100415,Finance,84
147,Jessica Hull,100164,Finance,85
815,Jordan Oliver,100161,Finance,86
449,Jacob Horton,99445,Finance,87
63,Jacob Sparks,98240,Finance,88
130,Mark Anderson,97175,Finance,89
760,Dawn Boyd,97030,Finance,90
101,Jessica Baldwin,96892,Finance,91
756,Sharon Martinez,96764,Finance,92
116,Renee Quinn,96343,Finance,93
276,Alexis Maynard,94788,Finance,94
91,Wendy Doyle,94155,Finance,95
920,Monica Johnson,94085,Finance,96
184,Shawn Johnson,93839,Finance,97
106,Thomas Jones,93478,Finance,98
727,Eric Wheeler,93278,Finance,99
580,Lauren Davis,92993,Finance,100
770,Christopher Sawyer,92257,Finance,101
182,Victoria Norris,91195,Finance,102
222,Ashley Ellison,91018,Finance,103
210,Carmen Moran,90609,Finance,104
651,Ashley Watts,89011,Finance,105
665,Rita Johnston,88688,Finance,106
744,Laura Matthews,88380,Finance,107
476,Laura Munoz,87675,Finance,108
